x	y	label	showSelected1	group
5	-15.3559487164688	p<0.0001	5	-1
10	-8.14304080375853	p<0.0001	10	-1
15	-6.02926508358107	p<0.0001	15	-1
20	-4.93580172061748	p<0.0001	20	-1
25	-4.97483442776025	p<0.0001	25	-1
30	-4.09503192561577	p<0.0001	30	-1
35	-5.98511128247093	p<0.0001	35	-1
40	-8.25346998422233	p<0.0001	40	-1
45	-1.68526131002265	p=0.0130	45	-1
50	-4.9239583510235	p<0.0001	50	-1
55	-3.57266243570113	p=0.0002	55	-1
60	-2.06105047771396	p=0.0055	60	-1
65	-2.64969260153159	p=0.0014	65	-1
70	-3.43102031023041	p=0.0002	70	-1
75	-2.10496791202794	p=0.0050	75	-1
80	-3.15158920088004	p=0.0004	80	-1
85	-5.65492129219724	p<0.0001	85	-1
90	-3.29427247552702	p=0.0003	90	-1
95	0.0929378324580377	p=0.7815	95	-1
100	-5.73757917434666	p<0.0001	100	-1
105	-1.43013582466456	p=0.0234	105	-1
110	-0.502992614708661	p=0.1982	110	-1
115	-0.817881776055864	p=0.0960	115	-1
120	-0.00183835014721681	p=0.6283	120	-1
125	-0.159983483786827	p=0.4365	125	-1
130	-0.452122595844055	p=0.2228	130	-1
135	0.106125882503555	p=0.8056	135	-1
140	-0.0919688080391263	p=0.5105	140	-1
145	-0.51280258237695	p=0.1937	145	-1
150	-3.03291510137122	p=0.0006	150	-1
