group	y	x	density	scaled	count	ymax
22	8.89335568763013e-17	0.164814136696727	8.89335568763013e-17	2.30501423689747e-17	8.89335568763013e-14	8.89335568763013e-17
22	1.73208690152291e-16	0.170750223117535	1.73208690152291e-16	4.48928965374355e-17	1.73208690152291e-13	1.73208690152291e-16
22	9.21202060651825e-17	0.176686309538343	9.21202060651825e-17	2.38760703995588e-17	9.21202060651825e-14	9.21202060651825e-17
22	2.28771261741953e-17	0.182622395959151	2.28771261741953e-17	5.92938181975173e-18	2.28771261741953e-14	2.28771261741953e-17
22	5.74710590635681e-17	0.188558482379959	5.74710590635681e-17	1.48955708063443e-17	5.74710590635681e-14	5.74710590635681e-17
22	0	0.194494568800767	0	0	0	0
22	0	0.200430655221575	0	0	0	0
22	0	0.206366741642383	0	0	0	0
22	3.27997646396228e-18	0.212302828063191	3.27997646396228e-18	8.50116953788039e-19	3.27997646396228e-15	3.27997646396228e-18
22	8.87342717754662e-17	0.218238914483998	8.87342717754662e-17	2.2998490887716e-17	8.87342717754662e-14	8.87342717754662e-17
22	1.22506753957016e-16	0.224175000904806	1.22506753957016e-16	3.17517731107709e-17	1.22506753957016e-13	1.22506753957016e-16
22	1.51947690284879e-17	0.230111087325614	1.51947690284879e-17	3.93823885687477e-18	1.51947690284879e-14	1.51947690284879e-17
22	0	0.236047173746422	0	0	0	0
22	3.75463684713955e-17	0.24198326016723	3.75463684713955e-17	9.73141263097585e-18	3.75463684713955e-14	3.75463684713955e-17
22	7.85619394407426e-17	0.247919346588038	7.85619394407426e-17	2.03619865492463e-17	7.85619394407425e-14	7.85619394407426e-17
22	1.64330321230457e-16	0.253855433008846	1.64330321230457e-16	4.25917666283145e-17	1.64330321230457e-13	1.64330321230457e-16
22	9.88125502278888e-17	0.259791519429654	9.88125502278888e-17	2.56106179781193e-17	9.88125502278888e-14	9.88125502278888e-17
22	1.01025420322574e-16	0.265727605850462	1.01025420322574e-16	2.61841581863163e-17	1.01025420322574e-13	1.01025420322574e-16
