x	y	label	group
185	-2.60102999566398	p < 0.05	-1
185	-2.60102999566398	p < 0.05	-1
185	-2.60102999566398	p < 0.05	-1
185	-2.60102999566398	p < 0.05	-1
185	-2.60102999566398	p < 0.05	-1
185	-2.60102999566398	p < 0.05	-1
185	-2.60102999566398	p < 0.05	-1
185	-2.60102999566398	p < 0.05	-1
185	-2.60102999566398	p < 0.05	-1
185	-2.60102999566398	p < 0.05	-1
185	-2.60102999566398	p < 0.05	-1
185	-2.60102999566398	p < 0.05	-1
185	-2.60102999566398	p < 0.05	-1
185	-2.60102999566398	p < 0.05	-1
185	-2.60102999566398	p < 0.05	-1
185	-2.60102999566398	p < 0.05	-1
185	-2.60102999566398	p < 0.05	-1
185	-2.60102999566398	p < 0.05	-1
185	-2.60102999566398	p < 0.05	-1
185	-2.60102999566398	p < 0.05	-1
185	-2.60102999566398	p < 0.05	-1
185	-2.60102999566398	p < 0.05	-1
185	-2.60102999566398	p < 0.05	-1
185	-2.60102999566398	p < 0.05	-1
185	-2.60102999566398	p < 0.05	-1
185	-2.60102999566398	p < 0.05	-1
185	-2.60102999566398	p < 0.05	-1
185	-2.60102999566398	p < 0.05	-1
185	-2.60102999566398	p < 0.05	-1
185	-2.60102999566398	p < 0.05	-1
