x	y	showSelected1
1	-0.560475646552213	1
2	-0.790653136035493	1
3	0.768055178113631	1
4	0.838563569538207	1
5	0.967851304699154	1
6	2.68291629158243	1
7	3.14383249757164	1
8	1.8787712629651	1
9	1.19191841107158	1
10	0.746256440971619	1
11	1.97033823841108	1
12	2.33015206546844	1
13	2.7309235160625	1
14	2.84160623200762	1
15	2.28576509725354	1
16	4.07267823405662	1
17	4.57052871228586	1
18	2.60391155565622	1
19	3.30526745721991	1
20	2.83247604949197	1
21	1.76465234350513	1
22	1.54667742884683	1
23	0.520672980539591	1
24	-0.208218248751549	1
25	-0.833257516600806	1
26	-2.51995082734322	1
27	-1.68216378284869	1
28	-1.52879066501218	1
29	-2.66692760202413	1
30	-1.4131126809542	1
31	-0.986648459477387	1
32	-1.28171994246966	1
33	-0.386594281424636	1
34	0.491539206108406	1
35	1.31312028774589	1
36	2.00176054184598	1
37	2.55567819538357	1
38	2.49376648480685	1
39	2.18780382106693	1
40	1.80733282005455	1
41	1.11262584113404	1
42	0.904708563114441	1
43	-0.360687788453824	1
44	1.80826817688469	1
45	3.01623017518968	1
46	1.89312159198633	1
47	1.49023675668725	1
48	1.02358140306404	1
49	1.80354652140035	1
50	1.72017745492852	1
2	-0.790653136035493	2
3	0.768055178113631	2
4	0.838563569538207	2
5	0.967851304699154	2
6	2.68291629158243	2
7	3.14383249757164	2
8	1.8787712629651	2
9	1.19191841107158	2
10	0.746256440971619	2
11	1.97033823841108	2
12	2.33015206546844	2
13	2.7309235160625	2
14	2.84160623200762	2
15	2.28576509725354	2
16	4.07267823405662	2
17	4.57052871228586	2
18	2.60391155565622	2
19	3.30526745721991	2
20	2.83247604949197	2
21	1.76465234350513	2
22	1.54667742884683	2
23	0.520672980539591	2
24	-0.208218248751549	2
25	-0.833257516600806	2
26	-2.51995082734322	2
27	-1.68216378284869	2
28	-1.52879066501218	2
29	-2.66692760202413	2
30	-1.4131126809542	2
31	-0.986648459477387	2
32	-1.28171994246966	2
33	-0.386594281424636	2
34	0.491539206108406	2
35	1.31312028774589	2
36	2.00176054184598	2
37	2.55567819538357	2
38	2.49376648480685	2
39	2.18780382106693	2
40	1.80733282005455	2
41	1.11262584113404	2
42	0.904708563114441	2
43	-0.360687788453824	2
44	1.80826817688469	2
45	3.01623017518968	2
46	1.89312159198633	2
