x	y	label	showSelected1	group
6.96969696969697	0	x: 6.9697	1	-1
4.98348511212046	0	x: 4.9835	2	-1
3.66804660479937	0	x: 3.6680	3	-1
2.70977704230281	0	x: 2.7098	4	-1
1.47720976705177	0	x: 1.4772	5	-1
2.97116175292223	0	x: 2.9712	6	-1
1.97741337844617	0	x: 1.9774	7	-1
5.54193387335363	0	x: 5.5419	8	-1
4.04275933825251	0	x: 4.0428	9	-1
3.00442649820558	0	x: 3.0044	10	-1
2.02507566107461	0	x: 2.0251	11	-1
6.67821700014792	0	x: 6.6782	12	-1
4.7923028201487	0	x: 4.7923	13	-1
3.53767552132009	0	x: 3.5377	14	-1
2.59816605698859	0	x: 2.5982	15	-1
1.1307091024784	0	x: 1.1307	16	-1
2.57809636057219	0	x: 2.5781	17	-1
1.05184539170704	0	x: 1.0518	18	-1
2.52050532004914	0	x: 2.5205	19	-1
0.782507943462333	0	x: 0.7825	20	-1
2.38194876848644	0	x: 2.3819	21	-1
-0.38881125585399	0	x: -0.3888	22	-1
3.14800423277264	0	x: 3.1480	23	-1
2.20815060332839	0	x: 2.2082	24	-1
-11.8946937672317	0	x: -11.8947	25	-1
-7.96851152064545	0	x: -7.9685	26	-1
-5.47282037669922	0	x: -5.4728	27	-1
-4.01087642028994	0	x: -4.0109	28	-1
-3.3319638552353	0	x: -3.3320	29	-1
-3.16223970354179	0	x: -3.1622	30	-1
