x	y	clickSelects
5	0.227990611537619	5
10	0.237132591990712	10
15	0.0473389509965438	15
20	0.248433622719037	20
25	0.321035031726622	25
30	0.108523434645282	30
35	0.233498882131427	35
40	0.754105496827069	40
45	0.440276273133617	45
50	0.286472353377839	50
55	0.403368666518786	55
60	0.340840644884569	60
65	0.730528311201193	65
70	0.763804880290993	70
75	0.0531390645049934	75
80	0.746692292374975	80
85	0.893541965898201	85
90	0.502378876209873	90
95	0.101442707510056	95
100	0.345245619044993	100
105	0.772363875989482	105
110	0.867213468992967	110
115	0.767486506556626	115
120	0.711687479449569	120
125	0.88716797490827	125
130	0.0192670205951315	130
135	0.182055486087696	135
140	0.925939686567275	140
145	0.0677000777354073	145
150	0.36649017574606	150
