x	y	label	group
180	0.07	p > 0.05	-1
180	0.07	p > 0.05	-1
180	0.07	p > 0.05	-1
180	0.07	p > 0.05	-1
180	0.07	p > 0.05	-1
180	0.07	p > 0.05	-1
180	0.07	p > 0.05	-1
180	0.07	p > 0.05	-1
180	0.07	p > 0.05	-1
180	0.07	p > 0.05	-1
180	0.07	p > 0.05	-1
180	0.07	p > 0.05	-1
180	0.07	p > 0.05	-1
180	0.07	p > 0.05	-1
180	0.07	p > 0.05	-1
180	0.07	p > 0.05	-1
180	0.07	p > 0.05	-1
180	0.07	p > 0.05	-1
180	0.07	p > 0.05	-1
180	0.07	p > 0.05	-1
180	0.07	p > 0.05	-1
180	0.07	p > 0.05	-1
180	0.07	p > 0.05	-1
180	0.07	p > 0.05	-1
180	0.07	p > 0.05	-1
180	0.07	p > 0.05	-1
180	0.07	p > 0.05	-1
180	0.07	p > 0.05	-1
180	0.07	p > 0.05	-1
180	0.07	p > 0.05	-1
