x	xmin	xmax	y	clickSelects	group
5	2.5	7.5	2.78004152873214e-16	5	-1
10	7.5	12.5	4.53898968965791e-09	10	-1
15	12.5	17.5	5.89840944631247e-07	15	-1
20	17.5	22.5	7.31472965009527e-06	20	-1
25	22.5	27.5	6.68598768368551e-06	25	-1
30	27.5	32.5	5.06953440023982e-05	30	-1
35	32.5	37.5	6.52963217639446e-07	35	-1
40	37.5	42.5	3.51989749062166e-09	40	-1
45	42.5	47.5	0.0130238291375114	45	-1
50	47.5	52.5	7.51694978344977e-06	50	-1
55	52.5	57.5	0.000168786444293711	55	-1
60	57.5	62.5	0.00548213242813722	60	-1
65	62.5	67.5	0.0014135377083415	65	-1
70	67.5	72.5	0.000233872786307559	70	-1
75	72.5	77.5	0.00495486798636271	75	-1
80	77.5	82.5	0.000445052043128268	80	-1
85	82.5	87.5	1.39662144980068e-06	85	-1
90	87.5	92.5	0.000320425834817307	90	-1
95	92.5	97.5	0.781515925659024	95	-1
100	97.5	102.5	1.15457148057424e-06	100	-1
105	102.5	107.5	0.02343495777437	105	-1
110	107.5	112.5	0.198156072247734	110	-1
115	112.5	117.5	0.0959661835770166	115	-1
120	117.5	122.5	0.628292173522823	120	-1
125	122.5	127.5	0.436532433246927	125	-1
130	127.5	132.5	0.22278061789678	130	-1
135	132.5	137.5	0.805611918144628	135	-1
140	137.5	142.5	0.510541666855824	140	-1
145	142.5	147.5	0.193730240507121	145	-1
150	147.5	152.5	0.000584904413778848	150	-1
